unit_index,layer,channel,description,is_text_neuron
898,layer4,386,Signs,False
899,layer4,387,Words,True
900,layer4,388,Numbers and letters,True
901,layer4,389,Words,True
902,layer4,390,Words,True
903,layer4,391,Signs,False
904,layer4,392,Signs,False
905,layer4,393,Words,True
906,layer4,394,Words,True
907,layer4,395,Words,True
908,layer4,396,Blue colored objects,False
909,layer4,397,Words,True
910,layer4,398,Sign boards with text in it,True
911,layer4,399,Red objects,False
912,layer4,400,Words,True
913,layer4,401,Words,True
914,layer4,402,Words,True
915,layer4,403,Words,True
916,layer4,404,Horizontal lines,False
917,layer4,405,Words,True
918,layer4,406,Black and white colored objects,False
919,layer4,407,Words,True
920,layer4,408,Horizontal lines,False
921,layer4,409,Numbers and letters,True
922,layer4,410,Red and white objects,False
923,layer4,411,Words,True
924,layer4,412,Words,True
925,layer4,413,Dog faces,False
926,layer4,414,Words,True
927,layer4,415,Words,True
928,layer4,416,Words,True
929,layer4,417,Blue colored objects,False
930,layer4,418,Words,True
931,layer4,419,The top of a building or sign,False
932,layer4,420,Red colored object with text,True
933,layer4,421,Signs,False
934,layer4,422,Signs,False
935,layer4,423,Dogs,False
936,layer4,424,Words,True
937,layer4,425,Words,True
938,layer4,426,Words,True
939,layer4,427,Words,True
940,layer4,428,Horizontal lines,False
941,layer4,429,Electronics,False
942,layer4,430,Words,True
943,layer4,431,Red and white colored objects,False
944,layer4,432,Words,True
945,layer4,433,Words,True
946,layer4,434,Words,True
947,layer4,435,Dogs,False
948,layer4,436,Numbers and letters,True
949,layer4,437,Words,True
950,layer4,438,Words,True
951,layer4,439,The top of a building or sign,False
952,layer4,440,Black and white colored objects,False
953,layer4,441,Black and white colored objects,False
954,layer4,442,Words,True
955,layer4,443,The top of a building or sign,False
956,layer4,444,Stripes,False
957,layer4,445,Red and white colored objects,False
958,layer4,446,Red and white colored objects,False
959,layer4,447,Black and white objects,False
960,layer4,448,Words,True
961,layer4,449,Words,True
962,layer4,450,Words,True
963,layer4,451,Words,True
964,layer4,452,The ground,False
965,layer4,453,The area above a object,False
966,layer4,454,Black and white colored objects,False
967,layer4,455,Words,True
968,layer4,456,Sign boards with text in it,True
969,layer4,457,People 's faces,False
970,layer4,458,Red colored object with text,True
971,layer4,459,Words,True
972,layer4,460,Words,True
973,layer4,461,Living things,False
974,layer4,462,Dog heads,False
975,layer4,463,Black and white colored objects,False
976,layer4,464,Numbers and letters,True
977,layer4,465,Words,True
978,layer4,466,Words,True
979,layer4,467,Numbers and letters,True
980,layer4,468,Rectangular objects,False
981,layer4,469,Words,True
982,layer4,470,Pink colored objects,False
983,layer4,471,Dogs,False
984,layer4,472,Dog faces,False
985,layer4,473,Black and white colored objects,False
986,layer4,474,Black and white colored objects,False
987,layer4,475,Red colored object with text,True
988,layer4,476,Words,True
989,layer4,477,Numbers and letters,True
990,layer4,478,"Airplanes, vehicles and signs",False
991,layer4,479,Words,True
992,layer4,480,Signs,False
993,layer4,481,Words,True
994,layer4,482,Dog faces,False
995,layer4,483,A sign,False
996,layer4,484,The tops of buildings,False
997,layer4,485,Words,True
998,layer4,486,Words,True
999,layer4,487,White areas,False
1000,layer4,488,Signs,False
1001,layer4,489,Words,True
1002,layer4,490,Sharks,False
1003,layer4,491,Words,True
1004,layer4,492,Words,True
1005,layer4,493,White objects,False
1006,layer4,494,Red and white objects,False
1007,layer4,495,Numbers and letters,True
1008,layer4,496,Words,True
1009,layer4,497,Horizontal lines,False
1010,layer4,498,Words,True
1011,layer4,499,Words,True
1012,layer4,500,Numbers and letters,True
1013,layer4,501,Buildings,False
1014,layer4,502,Black and white objects,False
1015,layer4,503,Words,True
1016,layer4,504,Round objects,False
1017,layer4,505,Red and yellow objects,False
1018,layer4,506,Words,True
1019,layer4,507,Words,True
1020,layer4,508,Words,True
1021,layer4,509,Signs,False
1022,layer4,510,Circular objects,False
1023,layer4,511,Words and signs,True
